cat,area,perimeter,compact,opt_blue_min,opt_blue_max,opt_blue_range,opt_blue_mean,opt_blue_stddev,opt_blue_sum,opt_blue_median,opt_green_min,opt_green_max,opt_green_range,opt_green_mean,opt_green_stddev,opt_green_sum,opt_green_median,opt_nir_min,opt_nir_max,opt_nir_range,opt_nir_mean,opt_nir_stddev,opt_nir_sum,opt_nir_median,opt_red_min,opt_red_max,opt_red_range,opt_red_mean,opt_red_stddev,opt_red_sum,opt_red_median,NDVI_min,NDVI_max,NDVI_range,NDVI_mean,NDVI_stddev,NDVI_sum,NDVI_median,Brightness_min,Brightness_max,Brightness_range,Brightness_mean,Brightness_stddev,Brightness_sum,Brightness_median,nDSM_min,nDSM_max,nDSM_range,nDSM_mean,nDSM_stddev,nDSM_sum,nDSM_median
12397246,2133.00000002,868,5.30175146964,244,326,82,297.401781528,7.32542321213,2537432,298.0,327,487,160,451.890881388,13.7276238702,3855533,454.0,305,682,377,428.774144398,34.1022011577,3658301,424.0,308,526,218,468.29899203,20.7079525892,3995527,471.0,-0.212841853499,0.231046929955,0.443888783455,-0.0449936451164,0.0494427949026,-383.885780134,-0.0536692,917,1319,402,1217.59165495,38.077830278,10388492,1222.0,-0.238311767578,3.72125244141,3.95956420898,0.246921337215,0.500829535701,2106.73284912,0.0
12465448,60.2500000005,34,1.23564995988,343,408,65,370.360995851,13.4370506176,89257,369.0,483,599,116,541.746887967,25.4719404782,130561,546.0,549,822,273,645.452282158,55.2876934842,155554,636.0,552,765,213,626.809128631,44.6780655716,151061,628.0,-0.0354302227497,0.0700280144811,0.105458237231,0.014116024376,0.0232079445973,3.40196187462,0.00834725,1397,1737,340,1538.91701245,77.5900585092,370879,1551.0,-0.0406494140625,1.31646728516,1.35711669922,0.368549647668,0.169158949035,88.8204650879,0.322266
12462992,18.2499999998,19,1.2546345258,276,401,125,352.589041096,34.4482282251,25739,363.0,305,432,127,390.589041096,29.5003299802,28513,395.0,206,423,217,279.232876712,42.3580693895,20384,272.0,175,362,187,252.780821918,39.9634238853,18453,247.0,-0.0700854733586,0.164241164923,0.234326638281,0.0503378710741,0.054051723821,3.67466458841,0.0519031,757,1111,354,995.95890411,83.9000446318,72705,1014.0,-0.069580078125,0.436737060547,0.506317138672,0.108818158711,0.122376708205,7.94372558594,0.0985718
12449246,747.749999991,400,4.1264524829,197,364,167,261.59779338,20.6677004851,782439,258.0,273,558,285,375.808759612,35.0456578084,1124044,371.0,541,1231,690,941.151454363,86.6371906601,2814984,932.0,189,699,510,368.454697426,68.1392059782,1102048,357.0,0.207569479942,0.686307072639,0.478737592697,0.438302016635,0.0818011192169,1310.96133175,0.441331,675,1602,927,1005.86125042,117.459866623,3008531,986.0,-0.089111328125,1.47473144531,1.56384277344,0.0992622643321,0.187644508758,296.893432617,0.0
12422461,554.499999958,419,5.0194752335,244,357,113,283.860234445,9.75485527252,629602,284.0,334,503,169,378.416140667,15.5469982108,839327,378.0,423,634,211,510.576645627,25.6471115887,1132459,507.0,319,561,242,392.370153291,26.9700858243,870277,390.0,0.0610878653824,0.199563801289,0.138475935906,0.131418860906,0.0162708718927,291.48703349,0.131281,936,1421,485,1054.6465284,49.5527830096,2339206,1054.0,-0.152374267578,2.15194702148,2.30432128906,0.214487060327,0.327220218573,475.732299805,0.00149536
12410882,106.25,136,3.72194119334,234,415,181,292.985882353,24.1812720579,124519,289.0,326,640,314,418.016470588,37.0644870369,177657,412.0,593,1196,603,864.432941176,69.2694370908,367384,854.0,353,816,463,472.675294118,51.753105973,200887,465.0,0.165021151304,0.420722126961,0.255700975657,0.293729116741,0.0316191115514,124.834874615,0.296233,929,1871,942,1183.67764706,109.086849778,503063,1165.0,-0.0273132324219,1.12380981445,1.15112304688,0.141070556641,0.238577725378,59.9549865723,0.000518799
12437529,122.750000003,61,1.55315268786,194,474,280,274.676171079,22.8579921002,134866,271.0,244,742,498,367.189409369,41.9414630608,180290,358.0,582,1176,594,1074.99389002,85.9907751135,527822,1110.0,406,917,511,793.894093686,74.2492155783,389802,814.0,0.00542299356312,0.319805204868,0.314382211305,0.151011356153,0.0365484668243,74.1465758709,0.154286,850,2021,1171,1435.75967413,106.125522666,704958,1449.0,4.16714477539,6.63824462891,2.47109985352,5.39474866444,0.618838347761,2648.82159424,5.43481
12453555,2404.24999997,1585,9.11873347454,206,305,99,244.038785484,8.53366211565,2346921,244.0,265,432,167,342.885827181,16.4731455751,3297533,344.0,770,1202,432,986.900696683,62.2061031453,9491024,982.0,173,445,272,281.119787876,24.4668086905,2703529,281.0,0.425503343344,0.701754391193,0.27625104785,0.55624874214,0.0347341465306,5349.44415316,0.555386,644,1182,538,868.044400541,47.0079208556,8347983,869.0,-0.0508117675781,1.73748779297,1.78829956055,0.381402766864,0.296466073225,3667.95040894,0.348602
12422261,19.5,22,1.40540159838,392,581,189,493.307692308,32.6116652451,38478,494.0,498,681,183,576.205128205,43.6390671169,44944,568.5,214,454,240,300.884615385,55.4635432975,23469,288.5,239,479,240,334.564102564,63.1188520222,26096,326.0,-0.185074627399,0.0538573525846,0.238931979984,-0.0522607778115,0.0570208722993,-4.0763406693,-0.0510131,1205,1691,486,1404.07692308,117.713338158,109518,1373.5,-0.0054931640625,2.67105102539,2.67654418945,0.120589036208,0.519826661933,9.40594482422,0.0
12370009,238.75,141,2.57420121239,205,284,79,249.908900524,10.7959210033,238663,250.0,251,402,151,350.937172775,22.2385032446,335145,355.0,691,1218,527,1015.6104712,72.348495574,969908,1016.0,173,405,232,306.969633508,31.5811946061,293156,310.0,0.370139956474,0.692044496536,0.321904540062,0.535768296144,0.0385028701103,511.658722818,0.533719,632,1081,449,907.815706806,62.2410914957,866964,916.0,-0.032958984375,1.36834716797,1.40130615234,0.271273276444,0.273518816538,259.065979004,0.28714
12377913,716.499999997,463,4.87941729986,167,343,176,259.606769016,20.7337811801,744033,259.0,238,475,237,365.732030705,35.6719282044,1048188,368.0,397,1076,679,817.814724355,92.1382396477,2343857,834.0,192,579,387,370.175157013,61.6582098904,1060922,369.0,0.208271786571,0.540653824806,0.332382038236,0.378512333426,0.0564306466708,1084.8163476,0.38152,629,1365,736,995.513956734,114.31807578,2853143,997.0,-0.162536621094,3.00534057617,3.16787719727,0.220394573757,0.553879701119,631.650848389,0.0
12358591,2.5,7,1.24888688131,188,223,35,203.8,10.9068785635,2038,201.5,234,291,57,259.3,18.385048273,2593,258.0,647,829,182,767.6,53.3651571721,7676,774.5,154,228,74,179.3,27.3570831779,1793,169.5,0.561959683895,0.678278684616,0.116319000721,0.622270941734,0.0396929725953,6.22270941734,0.640847,576,742,166,642.4,55.9110007065,6424,627.0,-0.0015869140625,0.0,0.0015869140625,-0.00015869140625,0.00047607421875,-0.0015869140625,0.0
12363974,690.000000031,639,6.86232655415,207,327,120,269.14384058,14.2441940281,742837,268.0,249,483,234,375.834057971,25.9107582054,1037302,375.0,498,1138,640,826.239492754,71.0402791831,2280421,829.0,205,557,352,393.591304348,46.4343037211,1086312,390.0,0.198594018817,0.520532727242,0.321938708425,0.355043646445,0.050965270165,979.920464188,0.353596,677,1350,673,1038.5692029,83.8921209923,2866451,1032.0,-0.240661621094,1.46530151367,1.70596313477,0.073066501341,0.168381021853,201.663543701,0.0
12354864,604.999999978,492,5.64264182208,253,408,155,346.263636364,15.6298057072,837958,346.0,360,617,257,530.618595041,27.8925251637,1284097,530.0,682,1030,348,883.397107438,47.3336206573,2137821,887.0,380,759,379,632.241322314,41.8761903384,1530024,632.0,0.0928419530392,0.284369111061,0.191527158022,0.166013302023,0.0205749791391,401.752190895,0.165829,993,1774,781,1509.12355372,83.2658345139,3652079,1507.0,-0.0910034179688,0.855926513672,0.946929931641,0.0577546048755,0.108378760643,139.766143799,0.0
12341192,8.00000000047,14,1.39629798136,173,259,86,219375,26.9950805704,7020,225.5,218,359,141,296.34375,39.5202553881,9483,313.0,547,936,389,756.3125,103.606357642,24202,768.0,160,335,175,253.0,52.9274267275,8096,262.5,0.385729044676,0.610451281071,0.224722236395,0.501669283025,0.0574511375848,16.0534170568,0.490948,560,951,391,768.71875,118.341728264,24599,801.5,-0.00238037109375,3.88339233398,3.88577270508,2.70080852509,1.69128013227,86.4258728027,3.69482
12355361,12853.9999994,7720,19.2084897656,192,729,537,311.110471449,19.9779589738,15996056,310.0,239,1045,806,457.406391007,33.6817440945,23518007,456.0,454,1502,1048,794.784736269,65.8108036485,40864652,797.0,288,1753,1465,632.222498833,56.8981936318,32506352,637.0,-0.0771121382713,0.31225296855,0.389365106821,0.114192233439,0.0254528426104,5871.30787451,0.111567,728,3527,2799,1400.73936129,100.433707863,72020415,1404.0,-0.371887207031,6.56369018555,6.93557739258,0.336154467065,0.808655306133,17283.7180786,0.0
