cat,Class_num,area,perimeter,compact,opt_blue_min,opt_blue_max,opt_blue_range,opt_blue_mean,opt_blue_stddev,opt_blue_sum,opt_blue_median,opt_green_min,opt_green_max,opt_green_range,opt_green_mean,opt_green_stddev,opt_green_sum,opt_green_median,opt_nir_min,opt_nir_max,opt_nir_range,opt_nir_mean,opt_nir_stddev,opt_nir_sum,opt_nir_median,opt_red_min,opt_red_max,opt_red_range,opt_red_mean,opt_red_stddev,opt_red_sum,opt_red_median,NDVI_min,NDVI_max,NDVI_range,NDVI_mean,NDVI_stddev,NDVI_sum,NDVI_median,Brightness_min,Brightness_max,Brightness_range,Brightness_mean,Brightness_stddev,Brightness_sum,Brightness_median,nDSM_min,nDSM_max,nDSM_range,nDSM_mean,nDSM_stddev,nDSM_sum,nDSM_median
16851176,22,2705.50000001,998,5.41254898851,259,454,195,389.464424321,21.9519472426,4214784,392.0,366,722,356,594.947976344,42.0935802505,6438527,598.0,674,1362,688,979.04999076,74.6676031897,10595279,979.0,343,943,600,729.265939752,66.3377965792,7892116,731.0,0.078651688993,0.378623187542,0.299971498549,0.146804982028,0.0234836957547,1588.72351551,0.141789,968,2112,1144,1713.67834042,127.153619673,18545427,1720.0,-0.0818786621094,2.5905456543,2.67242431641,1.48992413458,0.41563025495,16123.9589844,1.52429
16862796,21,2795.99999996,1688,9.00531537299,230,438,208,340.279059371,23.8366821426,3805681,338.0,309,683,374,519.691613019,44.7046072688,5812231,515.0,550,1189,639,938.506795422,83.9251901591,10496260,945.0,332,943,611,700.709942775,69.9183799231,7836740,703.0,0.0326004549861,0.339636355639,0.307035900652,0.14542214955,0.0287220390763,1626.40132057,0.139805,897,2046,1149,1560.68061516,133.352185438,17454652,1557.0,-0.157836914062,1.64819335938,1.80603027344,0.0555906555001,0.147409259718,621.725891113,0.0
16865682,34,1404.99999998,609,4.58325687437,182,273,91,234.470284698,8.70390796125,1317723,234.0,212,413,201,333.97455516,20.7901879462,1876937,333.0,640,1266,626,990.392882562,91.4526796676,5566008,974.0,93,361,268,257.508718861,26.0295840886,1447199,258.0,0.451012134552,0.804210543633,0.353198409081,0.586283295832,0.0387405574802,3294.91212258,0.586619,487,1035,548,825.953558719,52.8102877373,4641859,826.0,-0.156280517578,4.09967041016,4.25595092773,0.370327318945,0.466331231142,2081.23953247,0.288177
16832957,11,30.7499999998,27,1.37352406234,241,433,192,372.203252033,37.1352087548,45781,377.0,288,601,313,448.674796748,41.1168266022,55187,454.0,470,800,330,605.81300813,55.70163688,74515,595.0,218,607,389,339.479674797,45.9829147475,41756,335.0,0.110047847033,0.366279065609,0.256231218576,0.283153634609,0.0432111891869,34.8278970569,0.290323,803,1616,813,1160.35772358,95.8301453056,142724,1166.0,0.134338378906,4.20574951172,4.07141113281,0.618104764116,0.40145863878,76.0268859863,0.623108
16820446,34,54.7499999984,49,1.86809555155,162,253,91,225.96347032,13.9816755097,49486,227.0,211,370,159,302.589041096,30.1615902057,66267,301.0,850,1371,521,1131.64840183,106.626217936,247831,1139.0,62,304,242,226.324200913,35.7909953814,49565,228.0,0.591982841492,0.870833337307,0.278850495815,0.667243232466,0.040882945186,146.12626791,0.661859,435,927,492,754.876712329,77.660767739,165318,758.0,-0.105133056641,0.537445068359,0.642578125,0.0797198569938,0.140685515725,17.4586486816,0.0
16818541,12,10.5,16,1.39290148408,277,385,108,319.047619048,21.2254927375,13400,319.5,388,590,202,451.238095238,39.2869841065,18952,448.5,634,947,313,756.071428571,69.0039311707,31755,749.0,411,764,353,561.452380952,66.1456554312,23581,571.5,0.0920152068138,0.224528297782,0.132513090968,0.148900636782,0.0316766498444,6.25382674485,0.15315,1077,1739,662,1331.73809524,125.341639705,55933,1341.5,1.55465698242,2.72357177734,1.16891479492,2.0122033982,0.341187753484,84.5125427246,1.90965
16822678,22,2912.25000005,1865,9.74898892805,195,464,269,326.42175294,21.6884085551,3802487,326.0,231,680,449,478.752682634,35.9007087328,5576990,479.0,360,1119,759,820.674049275,69.3112377246,9560032,820.0,150,927,777,614.581337454,59.6559045998,7159258,617.0,0.0469798669219,0.445008456707,0.398028589785,0.144119057397,0.0329900300087,1678.84289962,0.1375,576,2037,1461,1419.75577303,108.17032944,16538735,1424.0,-0.187530517578,8.53228759766,8.71981811523,0.131173814251,0.58386647537,1528.04376221,0.0
16793340,12,80.7500000065,83,2.60556489822,193,392,199,279.900928793,31.1114460198,90408,281.0,249,568,319,393.777089783,51.9409628687,127190,392.0,532,1135,603,881.154798762,94.7950740719,284613,898.0,177,726,549,442.334365325,85.065043199,142874,439.0,0.140319719911,0.558665215969,0.418345496058,0.335492358765,0.0717103360426,108.364031881,0.326069,624,1667,1043,1116.0123839,158.11027964,360472,1105.0,-0.0703735351562,1.6755065918,1.74588012695,0.207947627679,0.318211179945,67.1670837402,0.127655
16803586,31,543.249999996,317,3.83667014561,192,293,101,232.766682006,11.6268234031,505802,233.0,220,416,196,302.679245283,22.0007052763,657722,304.0,500,1032,532,762.993097101,88.1310128391,1657984,749.0,141,424,283,264.674183157,37.2848596013,575137,266.0,0.311601161957,0.675373136997,0.36377197504,0.483481626411,0.0652639435532,1050.60557419,0.478178,565,1131,566,800.120110446,68.7021009183,1738661,805.0,-0.0648803710938,1.37704467773,1.44192504883,0.320480845241,0.29862837811,696.404876709,0.254181
16758859,11,245.749999993,93,1.67352133475,374,765,391,657.530010173,59.6862163304,646352,676.0,636,1301,665,1024.91658189,84.361193364,1007493,1051.0,772,1481,709,1214.4231943,65.3669814949,1193778,1222.0,680,1535,855,1163.25737538,73.2185782951,1143482,1170.0,-0.0290456432849,0.0711649954319,0.100210638717,0.0218024174455,0.0120908616918,21.4317763489,0.0231596,1755,3240,1485,2845.70396745,188.21856101,2797327,2898.0,-0.0805053710938,6.10388183594,6.18438720703,4.75520453545,1.01808339508,4674.36605835,4.92715
16751777,31,20.2499999998,21,1.31644236162,227,261,34,245.555555556,8.04002334006,19890,247.0,288,366,78,327.259259259,17.8524665639,26508,327.0,911,1148,237,1045.82716049,46.8980481111,84712,1048.0,207,323,116,264.197530864,25.3169634016,21400,264.0,0.528124988079,0.660714268684,0.132589280605,0.597060367649,0.0286969046141,48.3618897796,0.599413,723,939,216,837.012345679,48.370609847,67798,842.0,-0.000823974609375,0.356414794922,0.357238769531,0.110636769989,0.136153968504,8.96157836914,0.014801
16762897,21,5154.25000001,1313,5.15913692441,200,435,235,297.456807489,16.0066554207,6132667,296.0,274,697,423,436.209099287,28.9281494663,8993323,432.0,477,1183,706,767.436144929,64.5373106841,15822231,755.0,278,997,719,615.358248048,54.8969685743,12686841,608.0,0.029247911647,0.357865691185,0.328617779538,0.110156742498,0.0247111126147,2271.10156007,0.104408,795,2103,1308,1349.02415482,92.4412168336,27812831,1336.0,-0.133605957031,2.60235595703,2.73596191406,0.157660647184,0.326643981678,3250.48956299,0.0
16765227,32,3518.24999995,2132,10.1395555807,213,369,156,276.213245221,16.0752048635,3887149,274.0,279,548,269,381.529737796,31.0596323329,5369268,375.0,605,1145,540,798.328430328,72.8454062238,11234876,786.0,242,664,422,414.432743551,45.2792535301,5832312,407.0,0.157639443874,0.497335702181,0.339696258307,0.316677116937,0.0425325354849,4456.59706666,0.3163,734,1571,837,1072.17572657,89.8104260597,15088729,1056.0,-0.198486328125,2.0783996582,2.27688598633,0.338062597288,0.331473993198,4757.55493164,0.27063
16785797,21,18368.7499999,7060,14.6946743925,218,372,154,298.350064648,14.2537978021,21921271,298.0,301,558,257,440.036502212,26.5347371884,32331682,440.0,591,1035,444,803.399033685,43.8888781678,59029744,802.0,303,747,444,564.08954066,44.5819323138,41446479,566.0,0.0962223783135,0.337435901165,0.241213522851,0.175709974295,0.025633024544,12910.2903613,0.170153,833,1662,829,1302.47610752,81.4769354352,95699432,1304.0,-0.238311767578,1.66821289062,1.9065246582,0.180206887374,0.198520700383,13240.7010498,0.130249
